iso3,country,region,income_group,latitude,longitude,country_fr
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,36.7899,10.21,Tunisie
TUR,Turkiye,Europe & Central Asia,Upper middle income,39.7153,32.3606,Türkiye
TUV,Tuvalu,East Asia & Pacific,Upper middle income,-8.6314877,179.089567,Tuvalu
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,-6.17486,35.7382,Tanzanie
UGA,Uganda,Sub-Saharan Africa ,Low income,0.314269,32.5729,Ouganda
UKR,Ukraine,Europe & Central Asia,Upper middle income,50.4536,30.5038,Ukraine
URY,Uruguay,Latin America & Caribbean ,High income,-34.8941,-56.0675,Uruguay
USA,United States,North America,High income,38.8895,-77.032,États-Unis
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,41.3052,69.269,Ouzbékistan
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,13.2035,-61.2653,Saint-Vincent-et-les-Grenadines
VEN,"Venezuela, RB",Latin America & Caribbean ,Lower middle income,9.08165,-69.8371,Venezuela
VGB,British Virgin Islands,Latin America & Caribbean ,High income,18.431389,-64.623056,Îles Vierges britanniques
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,18.3358,-64.8963,Îles Vierges américaines
VNM,Viet Nam,East Asia & Pacific,Upper middle income,21.0069,105.825,Viet Nam
VUT,Vanuatu,East Asia & Pacific,Lower middle income,-17.7404,168.321,Vanuatu
WSM,Samoa,East Asia & Pacific,Upper middle income,-13.8314,-171.752,Samoa
XKX,Kosovo,Europe & Central Asia,Upper middle income,42.565,20.926,Kosovo
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,15.352,44.2075,Yémen
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,-25.746,28.1871,Afrique du Sud
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,-15.3982,28.2937,Zambie
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,-17.8312,31.0672,Zimbabwe
